,Image Name,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Z Position,Cell: ObjectID,Cell: DAPI_Area_Average,Cell: DAPI_Integrated_Intensity,Cell: DAPI_Average_Intensity,Cell: FITC_Integrated_Intensity,Cell: FITC_Average_Intensity,Cell: TRITC_Integrated_Intensity,Cell: TRITC_Average_Intensity,Cell: CY5_Integrated_Intensity,Cell: CY5_Average_Intensity,Cell: Features Count_Sum,Cell: Nuc_Area_Sum,Cell: NucFITC_Integrated_Intensity_Sum,Cell: NucFITC_Average_Intensity_Sum
78,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,14.0,273.22441875,696484.0,265.1252379139703,320930.0,122.1659687856871,321616.0,122.42710315949752,344250.0,131.04301484583175,0.0,65535.0,65535.0,65535.0
79,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,15.0,296.20980000000003,671836.0,235.89747191011236,344905.0,121.10428370786516,344852.0,121.08567415730337,332488.0,116.74438202247191,0.0,65535.0,65535.0,65535.0
80,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,16.0,308.79455625,915543.0,308.36746379252276,362533.0,122.10609632873022,363816.0,122.53822835971708,425007.0,143.1481980464803,0.0,65535.0,65535.0,65535.0
81,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,17.0,271.04028750000003,691218.0,265.2409823484267,312483.0,119.90905602455871,315455.0,121.04950115118956,357254.0,137.08902532617037,0.0,65535.0,65535.0,65535.0
82,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,18.0,213.2128125,547036.0,266.8468292682927,249100.0,121.51219512195122,246680.0,120.33170731707317,240046.0,117.09560975609756,0.0,65535.0,65535.0,65535.0
83,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,19.0,231.3099,639138.0,287.3821942446043,272743.0,122.63624100719424,272275.0,122.42580935251799,308766.0,138.83363309352518,0.0,65535.0,65535.0,65535.0
84,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,20.0,239.4223875,643614.0,279.5890529973936,281384.0,122.23457862728063,280090.0,121.67245873153779,322561.0,140.122067767159,0.0,65535.0,65535.0,65535.0
85,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,21.0,221.84533125000002,605442.0,283.845288326301,260632.0,122.19034224097516,261700.0,122.6910454758556,295031.0,138.3173933427098,0.0,65535.0,65535.0,65535.0
86,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,22.0,312.74679375000005,933783.0,310.5364150315929,360674.0,119.94479547721983,361965.0,120.37412703691386,379162.0,126.09311606252078,0.0,65535.0,65535.0,65535.0
87,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,23.0,232.03794375000004,577135.0,258.68892873151054,271083.0,121.50739578664276,268756.0,120.4643657552667,260518.0,116.77185118780815,0.0,65535.0,65535.0,65535.0
88,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,24.0,263.03180625000005,644738.0,254.93792012653222,306561.0,121.21826809015421,308216.0,121.87267694741004,317428.0,125.51522340846184,0.0,65535.0,65535.0,65535.0
89,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,25.0,250.44705000000002,624153.0,259.19975083056477,291125.0,120.89908637873754,296782.0,123.2483388704319,289494.0,120.2217607973422,0.0,65535.0,65535.0,65535.0
90,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,26.0,277.17665625,838452.0,314.61613508442775,318455.0,119.4953095684803,322333.0,120.95046904315197,337417.0,126.61050656660413,0.0,65535.0,65535.0,65535.0
91,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,27.0,257.10345,645188.0,260.99838187702267,300104.0,121.40129449838187,301061.0,121.78843042071198,310671.0,125.67597087378641,0.0,65535.0,65535.0,65535.0
92,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,28.0,138.95235,476821.0,356.90194610778445,168317.0,125.98577844311377,162931.0,121.95434131736526,173032.0,129.51497005988023,0.0,65535.0,65535.0,65535.0
93,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,29.0,280.08883125000006,687024.0,255.1147419235054,324484.0,120.49164500556999,328305.0,121.91050872632752,336431.0,124.92796138135908,0.0,65535.0,65535.0,65535.0
94,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,30.0,345.40475625000005,1005386.0,302.7359229147847,399714.0,120.35953026196928,399578.0,120.31857874134298,382770.0,115.25745257452574,0.0,65535.0,65535.0,65535.0
95,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,31.0,1184.8392000000001,5001821.0,439.0643433988764,1451568.0,127.41994382022472,1414140.0,124.13448033707866,1643674.0,144.28318117977528,0.0,65535.0,65535.0,65535.0
96,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,32.0,263.03180625000005,645767.0,255.34480031633058,301454.0,119.19889284302096,303289.0,119.92447607750098,311638.0,123.22578094108343,0.0,65535.0,65535.0,65535.0
97,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,33.0,324.39549375,1001549.0,321.11221545367107,379480.0,121.66720102596986,375830.0,120.49695415197179,362062.0,116.08271882013466,0.0,65535.0,65535.0,65535.0
98,DAPI-FIXED,15:54:08.215000,00:00:00,D03 : Site 5,440.0,12344.3,34.0,303.9062625,952516.0,325.98083504449005,360599.0,123.40828199863107,351533.0,120.30561259411363,339776.0,116.2819986310746,0.0,65535.0,65535.0,65535.0
99,DAPI-FIXED,15:54:16.535000,00:00:00,D03 : Site 6,440.0,12340.08,1.0,241.19049375000003,656400.0,283.0530401034929,282604.0,121.86459680896938,283818.0,122.38809831824062,306631.0,132.22552824493317,0.0,65535.0,65535.0,65535.0
100,DAPI-FIXED,15:54:16.535000,00:00:00,D03 : Site 6,440.0,12340.08,2.0,224.4454875,621295.0,287.9031510658017,262649.0,121.70945319740501,267335.0,123.88090824837813,291863.0,135.24698795180723,0.0,65535.0,65535.0,65535.0
